127.0.0.1 - - [15/Mar/2017:06:40:04 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:40:11 +0530] "GET /FirstWebApplicationDemo/FirstServlet HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:40:11 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:40:33 +0530] "GET /FirstWebApplicationDemo/FirstServlet HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:40:33 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:42:29 +0530] "GET /FirstWebApplicationDemo/FirstServlet HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:42:29 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:42:41 +0530] "GET /FirstWebApplicationDemo/FirstServlet HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:45:09 +0530] "GET /FirstWebApplicationDemo/index.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:45:10 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:06:45:23 +0530] "GET /FirstWebApplicationDemo/index.jsp HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:25:59 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:26:00 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:26:29 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:26:29 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:23 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:23 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:28 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:33 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:33 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:34 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:35 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:36 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [15/Mar/2017:08:28:38 +0530] "GET /FirstWebApplicationDemo/jsptagsdemo.jsp HTTP/1.1" 200 617
